CountyName,OwnerName_Grouped,OwnerName,OwnerAddre,OwnerAdd_1,OwnerAdd_2,OwnerCity,OwnerState,PropType,TotalAcres,Rank
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,640.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,315.787,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,396.07,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,480.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,626.12,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,440.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,160.0,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,629.91,4
Lincoln,GREEN DIAMOND MONTANA TIMBERLANDS LLC,GREEN DIAMOND MONTANA TIMBERLANDS LLC,C/O ORBIS INC,8809 LENOX POINTE DR UNIT B,,CHARLOTTE,NC,Vacant Land,174.1,4
